"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"3437","Sylvisorex johnstoni",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",3.17,"mammal"
"3438","Sylvisorex vulcanorum",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",3.5,"mammal"
"3439","Sylvisorex granti",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",3.8,"mammal"
"3440","Sylvisorex camerunensis",60,0,0,0,20,20,0,0,0,0,"Ref_2","D1",5.83,"mammal"
"3441","Sylvisorex howelli",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",4.32,"mammal"
"3442","Sylvisorex morio",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",9.99,"mammal"
"3443","Sorex caecutiens",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",5.38,"mammal"
"3444","Sorex raddei",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",10,"mammal"
"3445","Sorex alpinus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",7.8,"mammal"
"3446","Sorex minutus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",4.5,"mammal"
"3447","Sorex maritimensis",70,0,0,0,0,30,0,0,0,0,"Ref_2","D1",6.05,"mammal"
"3448","Sorex kozlovi",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",6.05,"mammal"
"3449","Sorex isodon",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",9.35,"mammal"
"3450","Sorex hosonoi",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",3.25,"mammal"
"3451","Sorex granarius",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",6.28,"mammal"
"3452","Sorex gracillimus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",5.06,"mammal"
"3453","Sorex daphaenodon",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",6.79,"mammal"
"3454","Sorex cylindricauda",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",6.05,"mammal"
